,departure,arrival,user,tt
0,486.0,525.0,0,39.0
1,405.0,429.0,1,24.0
2,393.0,417.0,2,24.0
3,409.0,434.0,3,25.0
4,512.0,552.0,4,40.0
5,402.0,426.0,5,24.0
6,450.0,482.0,6,32.0
7,409.0,434.0,7,25.0
8,567.0,591.0,8,24.0
9,488.0,528.0,9,40.0
10,533.0,570.0,10,37.0
11,524.0,563.0,11,39.0
12,491.0,531.0,12,40.0
13,461.0,496.0,13,35.0
14,416.0,441.0,14,25.0
15,401.0,425.0,15,24.0
16,368.0,392.0,16,24.0
17,436.0,466.0,17,30.0
18,402.0,426.0,18,24.0
19,394.0,418.0,19,24.0
20,410.0,435.0,20,25.0
21,405.0,429.0,21,24.0
22,495.0,535.0,22,40.0
23,433.0,462.0,23,29.0
24,381.0,405.0,24,24.0
25,385.0,409.0,25,24.0
26,440.0,470.0,26,30.0
27,433.0,462.0,27,29.0
28,449.0,481.0,28,32.0
29,533.0,570.0,29,37.0
30,548.0,578.0,30,30.0
31,395.0,419.0,31,24.0
32,-1.0,0.0,32,43.199999999999996
33,456.0,490.0,33,34.0
34,421.0,448.0,34,27.0
35,474.0,513.0,35,39.0
36,482.0,522.0,36,40.0
37,472.0,511.0,37,39.0
38,383.0,407.0,38,24.0
39,461.0,496.0,39,35.0
40,454.0,487.0,40,33.0
41,480.0,519.0,41,39.0
42,436.0,466.0,42,30.0
43,481.0,521.0,43,40.0
44,-1.0,0.0,44,43.199999999999996
45,454.0,487.0,45,33.0
46,511.0,551.0,46,40.0
47,537.0,572.0,47,35.0
48,427.0,455.0,48,28.0
49,454.0,487.0,49,33.0
50,482.0,522.0,50,40.0
51,497.0,537.0,51,40.0
52,508.0,548.0,52,40.0
53,486.0,525.0,53,39.0
54,508.0,548.0,54,40.0
55,444.0,474.0,55,30.0
56,446.0,477.0,56,31.0
57,464.0,500.0,57,36.0
58,461.0,496.0,58,35.0
59,408.0,433.0,59,25.0
60,532.0,569.0,60,37.0
61,465.0,502.0,61,37.0
62,399.0,423.0,62,24.0
63,532.0,569.0,63,37.0
64,383.0,407.0,64,24.0
65,505.0,545.0,65,40.0
66,443.0,474.0,66,31.0
67,486.0,525.0,67,39.0
68,406.0,430.0,68,24.0
69,564.0,588.0,69,24.0
70,529.0,566.0,70,37.0
71,418.0,444.0,71,26.0
72,438.0,468.0,72,30.0
73,440.0,470.0,73,30.0
74,-1.0,0.0,74,43.199999999999996
75,500.0,540.0,75,40.0
76,476.0,515.0,76,39.0
77,464.0,501.0,77,37.0
78,466.0,503.0,78,37.0
79,449.0,481.0,79,32.0
80,553.0,580.0,80,27.0
81,408.0,433.0,81,25.0
82,455.0,489.0,82,34.0
83,507.0,547.0,83,40.0
84,-1.0,0.0,84,43.199999999999996
85,414.0,439.0,85,25.0
86,432.0,461.0,86,29.0
87,410.0,435.0,87,25.0
88,381.0,405.0,88,24.0
89,491.0,531.0,89,40.0
90,387.0,411.0,90,24.0
91,395.0,419.0,91,24.0
92,518.0,557.0,92,39.0
93,480.0,519.0,93,39.0
94,402.0,426.0,94,24.0
95,519.0,558.0,95,39.0
96,487.0,527.0,96,40.0
97,389.0,413.0,97,24.0
98,411.0,436.0,98,25.0
99,384.0,408.0,99,24.0
100,448.0,480.0,100,32.0
101,481.0,521.0,101,40.0
102,390.0,414.0,102,24.0
103,486.0,525.0,103,39.0
104,531.0,568.0,104,37.0
105,462.0,498.0,105,36.0
106,407.0,431.0,106,24.0
107,421.0,448.0,107,27.0
108,448.0,480.0,108,32.0
109,410.0,435.0,109,25.0
110,-1.0,0.0,110,43.199999999999996
111,492.0,532.0,111,40.0
112,462.0,498.0,112,36.0
113,532.0,569.0,113,37.0
114,556.0,581.0,114,25.0
115,510.0,550.0,115,40.0
116,530.0,567.0,116,37.0
117,417.0,443.0,117,26.0
118,478.0,517.0,118,39.0
119,470.0,508.0,119,38.0
120,473.0,512.0,120,39.0
121,544.0,576.0,121,32.0
122,418.0,444.0,122,26.0
123,471.0,510.0,123,39.0
124,516.0,556.0,124,40.0
125,438.0,468.0,125,30.0
126,510.0,550.0,126,40.0
127,400.0,424.0,127,24.0
128,457.0,491.0,128,34.0
129,390.0,414.0,129,24.0
130,530.0,567.0,130,37.0
131,429.0,457.0,131,28.0
132,481.0,521.0,132,40.0
133,397.0,421.0,133,24.0
134,432.0,461.0,134,29.0
135,414.0,439.0,135,25.0
136,392.0,416.0,136,24.0
137,534.0,570.0,137,36.0
138,498.0,538.0,138,40.0
139,416.0,441.0,139,25.0
140,477.0,516.0,140,39.0
141,398.0,422.0,141,24.0
142,461.0,496.0,142,35.0
143,450.0,482.0,143,32.0
144,402.0,426.0,144,24.0
145,516.0,556.0,145,40.0
146,468.0,506.0,146,38.0
147,469.0,507.0,147,38.0
148,434.0,463.0,148,29.0
149,505.0,545.0,149,40.0
150,479.0,518.0,150,39.0
151,481.0,521.0,151,40.0
152,510.0,550.0,152,40.0
153,414.0,439.0,153,25.0
154,480.0,519.0,154,39.0
155,449.0,481.0,155,32.0
156,427.0,455.0,156,28.0
157,445.0,476.0,157,31.0
158,462.0,498.0,158,36.0
159,443.0,474.0,159,31.0
160,475.0,514.0,160,39.0
161,537.0,572.0,161,35.0
162,484.0,524.0,162,40.0
163,497.0,538.0,163,41.0
164,508.0,548.0,164,40.0
165,470.0,508.0,165,38.0
166,391.0,415.0,166,24.0
167,455.0,489.0,167,34.0
168,474.0,513.0,168,39.0
169,473.0,512.0,169,39.0
170,502.0,542.0,170,40.0
171,453.0,486.0,171,33.0
172,537.0,572.0,172,35.0
173,415.0,440.0,173,25.0
174,417.0,443.0,174,26.0
175,375.0,399.0,175,24.0
176,423.0,450.0,176,27.0
177,407.0,432.0,177,25.0
178,525.0,564.0,178,39.0
179,403.0,427.0,179,24.0
180,450.0,482.0,180,32.0
181,529.0,566.0,181,37.0
182,413.0,438.0,182,25.0
183,417.0,443.0,183,26.0
184,487.0,527.0,184,40.0
185,443.0,474.0,185,31.0
186,510.0,550.0,186,40.0
187,475.0,514.0,187,39.0
188,440.0,470.0,188,30.0
189,491.0,531.0,189,40.0
190,443.0,474.0,190,31.0
191,469.0,507.0,191,38.0
192,405.0,429.0,192,24.0
193,465.0,502.0,193,37.0
194,546.0,577.0,194,31.0
195,460.0,495.0,195,35.0
196,501.0,541.0,196,40.0
197,432.0,461.0,197,29.0
198,428.0,456.0,198,28.0
199,440.0,470.0,199,30.0
200,401.0,425.0,200,24.0
201,457.0,491.0,201,34.0
202,453.0,486.0,202,33.0
203,411.0,436.0,203,25.0
204,511.0,551.0,204,40.0
205,473.0,512.0,205,39.0
206,422.0,449.0,206,27.0
207,470.0,508.0,207,38.0
208,478.0,517.0,208,39.0
209,440.0,470.0,209,30.0
210,520.0,559.0,210,39.0
211,507.0,547.0,211,40.0
212,438.0,468.0,212,30.0
213,373.0,397.0,213,24.0
214,506.0,546.0,214,40.0
215,460.0,495.0,215,35.0
216,435.0,464.0,216,29.0
217,448.0,480.0,217,32.0
218,389.0,413.0,218,24.0
219,492.0,532.0,219,40.0
220,448.0,480.0,220,32.0
221,441.0,471.0,221,30.0
222,486.0,526.0,222,40.0
223,490.0,530.0,223,40.0
224,488.0,528.0,224,40.0
225,510.0,550.0,225,40.0
226,407.0,432.0,226,25.0
227,389.0,413.0,227,24.0
228,434.0,463.0,228,29.0
229,420.0,446.0,229,26.0
230,404.0,428.0,230,24.0
231,514.0,554.0,231,40.0
232,524.0,563.0,232,39.0
233,418.0,444.0,233,26.0
234,380.0,404.0,234,24.0
235,460.0,495.0,235,35.0
236,397.0,421.0,236,24.0
237,474.0,513.0,237,39.0
238,410.0,435.0,238,25.0
239,427.0,455.0,239,28.0
240,464.0,501.0,240,37.0
241,446.0,477.0,241,31.0
242,478.0,517.0,242,39.0
243,402.0,426.0,243,24.0
244,474.0,513.0,244,39.0
245,399.0,423.0,245,24.0
246,420.0,446.0,246,26.0
247,467.0,505.0,247,38.0
248,438.0,468.0,248,30.0
249,430.0,458.0,249,28.0
250,417.0,443.0,250,26.0
251,498.0,538.0,251,40.0
252,556.0,581.0,252,25.0
253,383.0,407.0,253,24.0
254,400.0,424.0,254,24.0
255,510.0,550.0,255,40.0
256,-1.0,0.0,256,43.199999999999996
257,411.0,436.0,257,25.0
258,537.0,572.0,258,35.0
259,523.0,562.0,259,39.0
260,520.0,559.0,260,39.0
261,473.0,512.0,261,39.0
262,494.0,535.0,262,41.0
263,424.0,451.0,263,27.0
264,472.0,511.0,264,39.0
265,409.0,434.0,265,25.0
266,535.0,571.0,266,36.0
267,449.0,481.0,267,32.0
268,411.0,436.0,268,25.0
269,473.0,512.0,269,39.0
270,547.0,577.0,270,30.0
271,436.0,466.0,271,30.0
272,488.0,528.0,272,40.0
273,378.0,402.0,273,24.0
274,512.0,552.0,274,40.0
275,469.0,507.0,275,38.0
276,414.0,439.0,276,25.0
277,479.0,519.0,277,40.0
278,508.0,548.0,278,40.0
279,532.0,569.0,279,37.0
280,473.0,512.0,280,39.0
281,443.0,474.0,281,31.0
282,463.0,499.0,282,36.0
283,501.0,541.0,283,40.0
284,410.0,435.0,284,25.0
285,416.0,441.0,285,25.0
286,524.0,563.0,286,39.0
287,437.0,467.0,287,30.0
288,477.0,516.0,288,39.0
289,459.0,494.0,289,35.0
290,399.0,423.0,290,24.0
291,438.0,468.0,291,30.0
292,539.0,573.0,292,34.0
293,433.0,462.0,293,29.0
294,515.0,555.0,294,40.0
295,504.0,544.0,295,40.0
296,405.0,429.0,296,24.0
297,450.0,482.0,297,32.0
298,395.0,419.0,298,24.0
299,371.0,395.0,299,24.0
300,463.0,499.0,300,36.0
301,421.0,448.0,301,27.0
302,483.0,523.0,302,40.0
303,507.0,547.0,303,40.0
304,514.0,554.0,304,40.0
305,513.0,553.0,305,40.0
306,450.0,482.0,306,32.0
307,473.0,512.0,307,39.0
308,435.0,464.0,308,29.0
309,501.0,541.0,309,40.0
310,520.0,559.0,310,39.0
311,367.0,391.0,311,24.0
312,538.0,573.0,312,35.0
313,404.0,428.0,313,24.0
314,462.0,498.0,314,36.0
315,399.0,423.0,315,24.0
316,541.0,575.0,316,34.0
317,481.0,521.0,317,40.0
318,440.0,470.0,318,30.0
319,478.0,517.0,319,39.0
320,499.0,539.0,320,40.0
321,508.0,548.0,321,40.0
322,446.0,477.0,322,31.0
323,542.0,575.0,323,33.0
324,382.0,406.0,324,24.0
325,462.0,498.0,325,36.0
326,455.0,489.0,326,34.0
327,448.0,480.0,327,32.0
328,547.0,578.0,328,31.0
329,390.0,414.0,329,24.0
330,541.0,575.0,330,34.0
331,509.0,549.0,331,40.0
332,456.0,490.0,332,34.0
333,414.0,439.0,333,25.0
334,530.0,567.0,334,37.0
335,491.0,531.0,335,40.0
336,386.0,410.0,336,24.0
337,431.0,459.0,337,28.0
338,490.0,530.0,338,40.0
339,485.0,525.0,339,40.0
340,452.0,485.0,340,33.0
341,527.0,565.0,341,38.0
342,426.0,454.0,342,28.0
