,departure,arrival,user,tt
0,486.0,514.0,0,28.0
1,392.0,416.0,1,24.0
2,393.0,417.0,2,24.0
3,409.0,434.0,3,25.0
4,512.0,537.0,4,25.0
5,402.0,426.0,5,24.0
6,393.0,417.0,6,24.0
7,409.0,434.0,7,25.0
8,567.0,591.0,8,24.0
9,488.0,517.0,9,29.0
10,533.0,557.0,10,24.0
11,550.0,574.0,11,24.0
12,491.0,519.0,12,28.0
13,461.0,490.0,13,29.0
14,416.0,441.0,14,25.0
15,401.0,425.0,15,24.0
16,368.0,392.0,16,24.0
17,404.0,428.0,17,24.0
18,402.0,426.0,18,24.0
19,394.0,418.0,19,24.0
20,410.0,435.0,20,25.0
21,405.0,429.0,21,24.0
22,526.0,550.0,22,24.0
23,433.0,460.0,23,27.0
24,381.0,405.0,24,24.0
25,385.0,409.0,25,24.0
26,440.0,467.0,26,27.0
27,433.0,460.0,27,27.0
28,449.0,477.0,28,28.0
29,-1.0,0.0,29,43.199999999999996
30,548.0,572.0,30,24.0
31,395.0,419.0,31,24.0
32,-1.0,0.0,32,43.199999999999996
33,456.0,485.0,33,29.0
34,403.0,427.0,34,24.0
35,474.0,504.0,35,30.0
36,482.0,512.0,36,30.0
37,472.0,502.0,37,30.0
38,383.0,407.0,38,24.0
39,419.0,444.0,39,25.0
40,454.0,483.0,40,29.0
41,-1.0,0.0,41,43.199999999999996
42,436.0,463.0,42,27.0
43,481.0,510.0,43,29.0
44,-1.0,0.0,44,43.199999999999996
45,454.0,483.0,45,29.0
46,511.0,536.0,46,25.0
47,577.0,601.0,47,24.0
48,427.0,453.0,48,26.0
49,454.0,483.0,49,29.0
50,482.0,512.0,50,30.0
51,-1.0,0.0,51,43.199999999999996
52,508.0,533.0,52,25.0
53,486.0,514.0,53,28.0
54,508.0,533.0,54,25.0
55,444.0,472.0,55,28.0
56,446.0,474.0,56,28.0
57,464.0,494.0,57,30.0
58,461.0,490.0,58,29.0
59,408.0,433.0,59,25.0
60,552.0,576.0,60,24.0
61,465.0,495.0,61,30.0
62,380.0,404.0,62,24.0
63,532.0,556.0,63,24.0
64,383.0,407.0,64,24.0
65,505.0,531.0,65,26.0
66,443.0,471.0,66,28.0
67,501.0,527.0,67,26.0
68,406.0,430.0,68,24.0
69,-1.0,0.0,69,43.199999999999996
70,534.0,558.0,70,24.0
71,418.0,443.0,71,25.0
