,buy,sell
0,,0.7747199999999992
1,,0.35871999999999793
2,,0.19472000000000483
3,,
4,,
5,,
6,,
7,,0.36671999999999766
8,,
9,,
10,,
11,,
12,,
13,,
14,,0.3747199999999973
15,,0.2067200000000044
16,,
17,,
18,,
19,,
20,,0.3827199999999973
21,,
22,,
23,,0.21472000000000407
24,,
25,,
26,,
27,,0.3907199999999973
28,,
29,,
30,,
31,,0.22272000000000378
32,,
33,,0.3987199999999973
34,,
35,,
36,,
37,,
38,,
39,,0.4067199999999976
40,,
41,,
42,,
43,,
44,,0.23472000000000315
45,,
46,,0.41471999999999776
47,,
48,,
49,,
50,,
51,,
52,,0.32629142857142923
53,,
54,,
55,,
56,,
57,,
58,,
59,,0.4307199999999985
60,,
61,,0.2507200000000025
62,,
63,,
64,,
65,,0.4387199999999988
66,,
67,,
68,,
69,,
70,,
71,,
72,,0.44671999999999923
73,,0.262720000000002
74,,
75,,
76,,
77,,
78,,0.4547199999999994
79,,
80,,
81,,0.27072000000000174
82,,
83,,
84,,
85,,0.46271999999999985
86,,
87,,
88,,
89,,
90,,0.27872000000000136
91,,0.4707200000000002
92,,
93,,
94,,0.4747200000000003
95,,
96,,
97,,
98,,0.28672000000000103
99,,
100,,0.48272000000000065
101,,
102,,
103,,
104,,
105,,
106,,
107,,0.490720000000001
108,,
109,,
110,,0.29872000000000054
111,,
112,,
113,,0.4987200000000013
114,,
115,,
116,,0.5027200000000014
117,,
118,,
119,,0.30672000000000016
120,,
121,,
122,,0.5107200000000017
123,,
124,,
125,,
126,,
127,,0.3147199999999999
128,,
129,,0.5187200000000021
130,,
131,,0.5227200000000023
132,,
133,,
134,,
135,,0.3227199999999995
136,,
137,,
138,,0.5307200000000025
139,,
140,,0.5347200000000027
141,,
142,,
143,,
144,,0.3307199999999991
145,,
146,,
147,,
148,,
149,,
150,,0.5467200000000032
151,,
152,,
153,,
154,,
155,,
156,,0.37533538461538396
157,,
158,,
159,,0.5587200000000037
160,,
161,,
162,,
163,,
164,,0.3507199999999983
165,,
166,,
167,,
168,,
169,,
170,,
171,,
172,,
173,,0.35871999999999793
174,,
175,,
176,,
177,,
178,,
179,,
180,,
181,,0.36671999999999766
182,,
183,,
184,,
185,,
186,,
187,,
188,,
189,,
190,,0.3747199999999973
191,,
192,,
193,,
194,,
195,,
196,,
197,,
198,,0.3827199999999973
199,,
200,,
201,,
202,,
203,,
204,,
205,,
206,,
207,,0.3907199999999973
208,,
209,,
210,,
211,,
212,,
213,,
214,,
215,,0.3987199999999973
216,,
217,,
218,,
219,,
220,,
221,,
222,,
223,,0.40671999999999753
224,,
225,,
226,,
227,,
228,,
229,,
230,,
231,,
232,,0.4147199999999978
233,,
234,,
235,,
236,,
237,,
238,,
239,,
240,,0.42271999999999815
241,,
242,,
243,,
244,,
245,,
246,,
247,,
248,,
249,,
250,,
251,,
252,,
253,,
254,,
255,,
256,,
257,,0.4387199999999988
258,,
259,,
260,,
261,,
262,,
263,,
264,,
265,,
266,,0.4467199999999992
267,,
268,,
269,,
270,,
271,,
272,,
273,,
274,,0.4547199999999994
275,,
276,,
277,,
278,,
279,,
280,,
281,,
282,,
283,,0.4627199999999998
284,,
285,,
286,,
287,,0.46671999999999997
288,,
289,,
290,,
291,,
292,,
293,,
294,,
295,,
296,,0.4747200000000003
297,,
298,,
299,,
300,,
301,,
302,,
303,,
304,,0.4827200000000006
305,,
306,,
307,,
308,,
309,,
310,,
311,,
312,,
313,,0.49072000000000093
314,,
315,,
316,,
317,,0.4947200000000011
318,,
319,,
320,,
321,,
322,,
323,,
324,,
325,,
326,,0.5027200000000014
327,,
328,,
329,,
330,,
331,,
332,,
333,,
334,,0.5107200000000017
335,,
336,,
337,,
338,,
339,,
340,,
341,,
342,,
343,,
344,,
345,,
346,,
347,,0.5227200000000023
348,,
349,,
350,,
351,,
352,,
353,,
354,,
355,,
356,,
357,,
358,,
359,,
360,,
361,,
362,,
363,,
364,,
365,,
366,,
367,,
368,,
369,,
370,,
371,,
372,,
373,,
374,,
375,,
376,,
377,,
378,,
379,,
380,,
381,,
382,,
383,,
384,,
385,,
386,,
387,,
388,,
389,,
390,,
391,,
392,,
393,,
394,,
395,,
396,,
397,,
398,,
399,,
400,,
401,,
402,,
403,,
404,,
405,,
406,,
407,,
408,,
409,,
410,,
411,,
412,,
413,,
414,,
415,,
416,,
417,,
418,,
419,,
420,,
421,,
422,,
423,,
424,,0.7747199999999993
425,,
426,,
427,,
428,0.001279999999999947,0.7747199999999993
429,0.009279999999999946,
430,0.017279999999999945,
431,0.029279999999999855,
432,0.03727999999999985,0.7747199999999993
433,0.04527999999999986,0.7747199999999993
434,0.053279999999999855,
435,0.05727999999999994,
436,0.06527999999999995,0.7747199999999993
437,0.07327999999999996,
438,0.08127999999999995,0.7747199999999993
439,0.08927999999999996,
440,0.09727999999999994,
441,0.10127999999999986,
442,0.10927999999999985,
443,0.11727999999999987,0.7747199999999993
444,0.12127999999999994,0.7747199999999993
445,0.12927999999999976,
446,0.13327999999999984,0.7747199999999993
447,0.14127999999999985,
448,0.14527999999999977,
449,0.15327999999999978,
450,0.15727999999999986,0.7747199999999993
451,0.16127999999999976,
452,0.16927999999999976,0.14016711111111096
453,0.17327999999999985,0.7747199999999993
454,0.17727999999999977,0.7747199999999993
455,0.18127999999999986,0.7747199999999993
456,0.18527999999999975,
457,0.1892799999999999,
