,departure,arrival,user,tt
0,486.0,510.0,0,24.0
1,392.0,417.0,1,25.0
2,376.0,400.0,2,24.0
3,409.0,433.0,3,24.0
4,512.0,536.0,4,24.0
5,402.0,426.0,5,24.0
6,-1.0,0.0,6,43.199999999999996
7,409.0,433.0,7,24.0
8,567.0,591.0,8,24.0
9,-1.0,0.0,9,43.199999999999996
10,562.0,586.0,10,24.0
11,566.0,590.0,11,24.0
12,491.0,515.0,12,24.0
13,461.0,485.0,13,24.0
14,416.0,440.0,14,24.0
15,377.0,401.0,15,24.0
16,368.0,392.0,16,24.0
17,436.0,460.0,17,24.0
18,402.0,426.0,18,24.0
19,394.0,419.0,19,25.0
20,-1.0,0.0,20,43.199999999999996
21,389.0,413.0,21,24.0
22,-1.0,0.0,22,43.199999999999996
23,433.0,457.0,23,24.0
24,381.0,405.0,24,24.0
25,385.0,409.0,25,24.0
26,440.0,464.0,26,24.0
27,433.0,457.0,27,24.0
28,449.0,473.0,28,24.0
29,570.0,594.0,29,24.0
30,548.0,572.0,30,24.0
31,395.0,419.0,31,24.0
32,-1.0,0.0,32,43.199999999999996
33,-1.0,0.0,33,43.199999999999996
34,392.0,417.0,34,25.0
35,-1.0,0.0,35,43.199999999999996
36,-1.0,0.0,36,43.199999999999996
37,472.0,496.0,37,24.0
38,383.0,407.0,38,24.0
39,-1.0,0.0,39,43.199999999999996
40,454.0,478.0,40,24.0
41,-1.0,0.0,41,43.199999999999996
42,-1.0,0.0,42,43.199999999999996
43,481.0,505.0,43,24.0
44,-1.0,0.0,44,43.199999999999996
45,454.0,478.0,45,24.0
46,511.0,535.0,46,24.0
47,565.0,589.0,47,24.0
48,390.0,414.0,48,24.0
49,454.0,478.0,49,24.0
50,482.0,506.0,50,24.0
51,-1.0,0.0,51,43.199999999999996
52,508.0,532.0,52,24.0
53,486.0,510.0,53,24.0
54,508.0,532.0,54,24.0
55,444.0,468.0,55,24.0
56,446.0,470.0,56,24.0
57,-1.0,0.0,57,43.199999999999996
58,461.0,485.0,58,24.0
59,408.0,432.0,59,24.0
60,563.0,587.0,60,24.0
61,449.0,473.0,61,24.0
62,377.0,401.0,62,24.0
63,532.0,556.0,63,24.0
64,383.0,407.0,64,24.0
65,505.0,529.0,65,24.0
66,443.0,467.0,66,24.0
67,486.0,510.0,67,24.0
68,406.0,430.0,68,24.0
69,564.0,588.0,69,24.0
70,-1.0,0.0,70,43.199999999999996
71,418.0,442.0,71,24.0
72,438.0,462.0,72,24.0
73,440.0,464.0,73,24.0
74,-1.0,0.0,74,43.199999999999996
75,500.0,524.0,75,24.0
76,476.0,500.0,76,24.0
77,464.0,489.0,77,25.0
78,466.0,490.0,78,24.0
79,449.0,473.0,79,24.0
80,563.0,587.0,80,24.0
81,408.0,432.0,81,24.0
82,455.0,479.0,82,24.0
83,-1.0,0.0,83,43.199999999999996
84,-1.0,0.0,84,43.199999999999996
85,-1.0,0.0,85,43.199999999999996
86,432.0,456.0,86,24.0
87,410.0,434.0,87,24.0
88,381.0,405.0,88,24.0
89,491.0,515.0,89,24.0
90,387.0,411.0,90,24.0
91,375.0,399.0,91,24.0
92,518.0,542.0,92,24.0
93,480.0,504.0,93,24.0
94,-1.0,0.0,94,43.199999999999996
95,-1.0,0.0,95,43.199999999999996
96,457.0,482.0,96,25.0
97,389.0,413.0,97,24.0
98,411.0,435.0,98,24.0
99,384.0,408.0,99,24.0
100,448.0,472.0,100,24.0
101,481.0,505.0,101,24.0
102,390.0,414.0,102,24.0
103,-1.0,0.0,103,43.199999999999996
104,531.0,555.0,104,24.0
105,462.0,486.0,105,24.0
106,407.0,431.0,106,24.0
107,421.0,445.0,107,24.0
108,448.0,472.0,108,24.0
109,410.0,434.0,109,24.0
110,-1.0,0.0,110,43.199999999999996
111,-1.0,0.0,111,43.199999999999996
112,462.0,486.0,112,24.0
113,568.0,592.0,113,24.0
114,570.0,594.0,114,24.0
115,510.0,534.0,115,24.0
116,530.0,554.0,116,24.0
117,377.0,401.0,117,24.0
118,478.0,502.0,118,24.0
119,470.0,494.0,119,24.0
120,-1.0,0.0,120,43.199999999999996
121,564.0,588.0,121,24.0
122,418.0,442.0,122,24.0
123,471.0,495.0,123,24.0
124,516.0,540.0,124,24.0
125,438.0,462.0,125,24.0
126,510.0,534.0,126,24.0
127,400.0,424.0,127,24.0
128,457.0,482.0,128,25.0
129,390.0,414.0,129,24.0
130,530.0,554.0,130,24.0
131,-1.0,0.0,131,43.199999999999996
132,481.0,505.0,132,24.0
133,397.0,421.0,133,24.0
134,432.0,456.0,134,24.0
135,414.0,438.0,135,24.0
136,392.0,417.0,136,25.0
137,562.0,586.0,137,24.0
138,498.0,522.0,138,24.0
139,416.0,440.0,139,24.0
140,477.0,501.0,140,24.0
141,398.0,422.0,141,24.0
142,-1.0,0.0,142,43.199999999999996
143,450.0,474.0,143,24.0
144,402.0,426.0,144,24.0
145,516.0,540.0,145,24.0
