,buy,sell
0,,
1,,
2,,
3,,
4,,
5,,
6,,0.49344000000000565
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,0.5174400000000047
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,0.5414400000000038
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,0.5654400000000028
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,,
51,,0.5814400000000021
52,,
53,,
54,,
55,,
56,,
57,,
58,,
59,,
60,,
61,,
62,,
63,,0.6054400000000011
64,,
65,,
66,,
67,,
68,,
69,,
70,,
71,,
72,,
73,,
74,,
75,,0.6294400000000002
76,,
77,,
78,,
79,,
80,,
81,,
82,,
83,,0.6454399999999995
84,,
85,,
86,,
87,,
88,,
89,,
90,,
91,,
92,,
93,,
94,,
95,,
96,,0.6694399999999984
97,,
98,,
99,,
100,,
101,,
102,,
103,,
104,,
105,,
106,,
107,,
108,,0.6934399999999975
109,,
110,,
111,,
112,,
113,,
114,,
115,,
116,,0.7094399999999967
117,,
118,,
119,,
120,,
121,,
122,,
123,,
124,,
125,,
126,,
127,,
128,,0.7334399999999958
129,,
130,,
131,,
132,,
133,,
134,,
135,,
136,,
137,,0.7494399999999951
138,,
139,,
140,,
141,,
142,,
143,,
144,,
145,,
146,,
147,,
148,,
149,,0.7734399999999952
150,,
151,,
152,,
153,,
154,,
155,,
156,,
157,,0.7894399999999951
158,,
159,,
160,,
161,,
162,,
163,,
164,,
165,,
166,,0.8054399999999952
167,,
168,,
169,,
170,,
171,,
172,,
173,,
174,,
175,,
176,,
177,,
178,,0.8294399999999962
179,,
180,,
181,,
182,,
183,,
184,,
185,,
186,,0.845439999999997
187,,
188,,
189,,
190,,
191,,
192,,
193,,
194,,
195,,0.8614399999999977
196,,
197,,
198,,
199,,
200,,
201,,
202,,
203,,
204,,
205,,
206,,
207,,0.8854399999999986
208,,
209,,
210,,
211,,
212,,
213,,
214,,
215,,0.9014399999999991
216,,
217,,
218,,
219,,
220,,
221,,
222,,
223,,
224,,0.9174399999999999
225,,
226,,
227,,
228,,
229,,
230,,
231,,
232,,0.9334400000000007
233,,
234,,
235,,
236,,
237,,
238,,
239,,
240,,
241,,0.9494400000000013
242,,
243,,
244,,
245,,
246,,
247,,
248,,
249,,0.9654400000000017
250,,
251,,
252,,
253,,
254,,
255,,
256,,
257,,
258,,0.9814400000000025
259,,
260,,
261,,
262,,
263,,
264,,
265,,
266,,0.9974400000000031
267,,
268,,
269,,
270,,
271,,
272,,
273,,
274,,1.013440000000004
275,,
276,,
277,,
278,,
279,,
280,,
281,,
282,,
283,,1.0294400000000046
284,,
285,,
286,,
287,,
288,,
289,,
290,,
291,,1.0454400000000053
292,,
293,,
294,,
295,,
296,,
297,,
298,,
